MEM,func,k,AAE,ARE,_sum,throughput,,MEM,func,k,AAE,ARE,_sum,throughput
,,,,,,,,100,CuckooSketchPro,900,0.375556,0.00130619,899/900,22.7526
,,,,,,,,100,heavykeeper,900,4.83222,0.0295016,887/900,12.0122
,,,,,,,,100,LossyCounting,900,140.192,108.921,474/900,11.0396
,,,,,,,,100,spacesaving,900,237.646,11.261,518/900,17.3421
,,,,,,,,100,CuckooCounter,1000,0.534,0.00311841,997/1000,13.0446
,,,,,,,,100,CuckooSketch,1000,2.572,0.00687837,1000/1000,19.6167
,,,,,,,,100,CuckooSketchPro,1000,0.37,0.00140947,1000/1000,22.6886
,,,,,,,,100,heavykeeper,1000,8.437,0.367451,179/1000,11.7579
,,,,,,,,100,LossyCounting,1000,152.803,120.76,482/1000,10.8728
,,,,,,,,100,spacesaving,1000,252.701,16.3188,550/1000,17.3512
