MEM,func,k,AAE,ARE,_sum,throughput
60,LossyCounting,600,443.47,429.883,23/600,1.96972,
60,spacesaving,600,770.312,604.57,59/600,18.8583,
60,CuckooCounter,700,3.18143,1.80843,459/700,19.3592,
60,CuckooSketch,700,1.24143,0.467252,507/700,21.2121,
60,CuckooSketchPro,700,0.762857,0.131695,526/700,27.3112,
60,heavykeeper,700,59.2314,0.720351,396/700,16.387,
60,LossyCounting,700,445.974,434.328,23/700,1.98858,
60,spacesaving,700,774.436,614.189,63/700,18.8683,
60,CuckooCounter,800,5.2725,2.40165,448/800,19.1088,
60,CuckooSketch,800,1.37625,0.587774,531/800,21.4174,
60,CuckooSketchPro,800,0.7925,0.169896,540/800,27.5528,
60,heavykeeper,800,67.6312,0.731797,384/800,16.429,
60,LossyCounting,800,447.853,437.662,23/800,1.97153,
60,spacesaving,800,774.745,611.844,80/800,18.8189,
60,CuckooCounter,900,7.14556,3.52166,425/900,19.4401,
60,CuckooSketch,900,1.50444,0.731448,540/900,21.277,
60,CuckooSketchPro,900,0.856667,0.21454,553/900,27.6465,
60,heavykeeper,900,59.6356,0.915666,358/900,16.3999,
60,LossyCounting,900,449.219,429.683,23/900,1.9596,
60,spacesaving,900,776.382,618.471,87/900,18.8686,
60,CuckooCounter,1000,12.488,5.73242,382/1000,19.7305,
60,CuckooSketch,1000,1.582,0.830969,549/1000,21.2161,
60,CuckooSketchPro,1000,0.877,0.262486,566/1000,27.0724,
60,heavykeeper,1000,40.879,0.659553,251/1000,16.5363,
60,LossyCounting,1000,450.297,432.715,23/1000,1.97024,
60,spacesaving,1000,778.546,624.809,90/1000,18.8975,
70,CuckooCounter,100,3.01,1.23715,92/100,20.9784,
70,CuckooSketch,100,1.91,0.00439388,97/100,21.2067,
70,CuckooSketchPro,100,0,0,98/100,27.2509,
70,heavykeeper,100,2.35,0.00806438,83/100,17.2888,
70,LossyCounting,100,285.12,211.326,28/100,1.94996,
70,spacesaving,100,530.99,296.448,33/100,18.5213,
70,CuckooCounter,200,2.21,1.67316,176/200,20.362,
70,CuckooSketch,200,2.22,0.00520639,178/200,21.1815,
70,CuckooSketchPro,200,0.08,0.000336191,179/200,27.2435,
70,heavykeeper,200,5.335,0.0237916,171/200,16.971,
70,LossyCounting,200,340.06,303.163,28/200,1.9021,
70,spacesaving,200,601.06,424.679,40/200,18.1113,
70,CuckooCounter,300,0.94,0.548982,298/300,20.2245,
70,CuckooSketch,300,1.48,0.00347092,296/300,21.1811,
70,CuckooSketchPro,300,0.0533333,0.000224127,296/300,27.3868,
70,heavykeeper,300,9.44,0.051098,295/300,16.7518,
70,LossyCounting,300,358.373,333.775,28/300,1.98063,
70,spacesaving,300,628.547,492.337,43/300,18.3147,
70,CuckooCounter,400,0.2425,0.00451912,397/400,19.6696,
70,CuckooSketch,400,1.3525,0.00696863,397/400,21.1918,
70,CuckooSketchPro,400,0.3275,0.00537638,395/400,27.2784,
70,heavykeeper,400,18.5975,0.210658,373/400,16.5175,
70,LossyCounting,400,367.53,349.082,28/400,1.96197,
70,spacesaving,400,642.525,525.305,51/400,18.4471,
70,CuckooCounter,500,1.092,0.292234,452/500,19.5152,
70,CuckooSketch,500,1.384,0.0770608,452/500,21.1604,
70,CuckooSketchPro,500,0.65,0.0227169,455/500,27.239,
70,heavykeeper,500,19.356,0.400519,388/500,16.5123,
70,LossyCounting,500,373.024,358.265,28/500,1.96723,
70,spacesaving,500,647.05,515.33,64/500,18.4686,
70,CuckooCounter,600,1.86,0.776811,479/600,19.036,
70,CuckooSketch,600,1.51667,0.25974,489/600,21.2071,
70,CuckooSketchPro,600,0.638333,0.0521014,496/600,27.3209,
70,heavykeeper,600,27.615,0.426345,405/600,16.1998,
70,LossyCounting,600,376.687,364.388,28/600,2.02473,
70,spacesaving,600,651.287,511.627,72/600,18.5529,
70,CuckooCounter,700,2.46286,1.25551,481/700,19.3028,
70,CuckooSketch,700,1.59143,0.392097,523/700,21.1631,
70,CuckooSketchPro,700,0.652857,0.0893069,538/700,27.2502,
70,heavykeeper,700,35.6286,0.50858,405/700,16.3407,
70,LossyCounting,700,379.303,368.761,28/700,2.00629,
70,spacesaving,700,656.414,516.528,73/700,18.1858,
70,CuckooCounter,800,3.2175,1.82677,477/800,19.2608,
70,CuckooSketch,800,1.695,inf,543/800,21.2022,
70,CuckooSketchPro,800,0.64375,0.10731,554/800,27.1179,
70,heavykeeper,800,41.1562,0.779825,396/800,15.9071,
70,LossyCounting,800,381.265,372.041,28/800,1.97419,
70,spacesaving,800,660.679,518.658,73/800,18.4543,
70,CuckooCounter,900,4.43333,2.423,465/900,19.279,
70,CuckooSketch,900,1.74667,inf,554/900,21.2739,
70,CuckooSketchPro,900,0.656667,0.131498,566/900,27.2376,
